datetime,Heating Setpoint (New),Cooling Setpoint (New),Heating Deadband Up,Heating Deadband Down,Cooling Deadband Up,Cooling Deadband Down
 09/11  6:16,10,35,0.4,0.6,0.4,0.6
 09/11  6:17,10,35,0.4,0.6,0.4,0.6
 09/11  6:18,10,35,0.4,0.6,0.4,0.6
 09/11  6:19,10,35,0.4,0.6,0.4,0.6
 09/11  6:20,10,35,0.4,0.6,0.4,0.6
 09/11  6:21,10,35,0.4,0.6,0.4,0.6
 09/11  6:22,10,35,0.4,0.6,0.4,0.6
 09/11  6:23,10,35,0.4,0.6,0.4,0.6
 09/11  6:24,10,35,0.4,0.6,0.4,0.6
 09/11  6:25,10,35,0.4,0.6,0.4,0.6
 09/11  6:26,10,35,0.4,0.6,0.4,0.6
 09/11  6:27,10,35,0.4,0.6,0.4,0.6
 09/11  6:28,10,35,0.4,0.6,0.4,0.6
 09/11  6:29,10,35,0.4,0.6,0.4,0.6
 09/11  6:30,10,35,0.4,0.6,0.4,0.6
 09/11  6:31,10,35,0.4,0.6,0.4,0.6
 09/11  6:32,10,35,0.4,0.6,0.4,0.6
 09/11  6:33,10,35,0.4,0.6,0.4,0.6
 09/11  6:34,10,35,0.4,0.6,0.4,0.6
 09/11  6:35,10,35,0.4,0.6,0.4,0.6
 09/11  6:36,10,35,0.4,0.6,0.4,0.6
 09/11  6:37,10,35,0.4,0.6,0.4,0.6
 09/11  6:38,10,35,0.4,0.6,0.4,0.6
 09/11  6:39,10,35,0.4,0.6,0.4,0.6
 09/11  6:40,10,35,0.4,0.6,0.4,0.6
 09/11  6:41,10,35,0.4,0.6,0.4,0.6
 09/11  6:42,10,35,0.4,0.6,0.4,0.6
 09/11  6:43,10,35,0.4,0.6,0.4,0.6
 09/11  6:44,10,35,0.4,0.6,0.4,0.6
 09/11  6:45,10,35,0.4,0.6,0.4,0.6
 09/11  6:46,10,35,0.4,0.6,0.4,0.6
 09/11  6:47,10,35,0.4,0.6,0.4,0.6
 09/11  6:48,10,35,0.4,0.6,0.4,0.6
 09/11  6:49,10,35,0.4,0.6,0.4,0.6
 09/11  6:50,10,35,0.4,0.6,0.4,0.6
 09/11  6:51,10,35,0.4,0.6,0.4,0.6
 09/11  6:52,10,35,0.4,0.6,0.4,0.6
 09/11  6:53,10,35,0.4,0.6,0.4,0.6
